duration,Latitude,Longitude,Speed
500,37.4750168,126.8785238,1.360000014
1013,37.47507834,126.8785254,1.320000052
993,37.47510232,126.8785305,1.389999986
971,37.47513158,126.8785454,1.230000019
1000,37.47513602,126.8785537,1.269999981
1010,37.47516536,126.8785702,1.220000029
998,37.4751743,126.878585,1.379999995
1011,37.47518218,126.8786008,1.389999986
1017,37.47519089,126.8786176,1.399999976
1014,37.47519319,126.8786343,1.370000005
1012,37.47519297,126.8786514,1.370000005
990,37.47519607,126.878671,1.370000005
1011,37.47520046,126.8786895,1.370000005
977,37.47520892,126.8787048,1.350000024
1003,37.47520754,126.8787197,1.330000043
1004,37.4752077,126.8787355,1.320000052
1009,37.47521187,126.8787526,1.320000052
1009,37.47522182,126.8787665,1.320000052
1003,37.47523284,126.8787857,1.350000024
1002,37.47524175,126.8788027,1.340000033
1002,37.47524573,126.8788189,1.330000043
1003,37.4752386,126.8788328,1.320000052
1011,37.47522861,126.8788438,1.309999943
990,37.47522212,126.878841,1.289999962
1020,37.47523266,126.878836,1.299999952
1045,37.47524317,126.8788398,1.289999962
962,37.47525445,126.8788424,1.289999962
981,37.47525367,126.8788527,1.279999971
1028,37.47524979,126.8788671,1.279999971
967,37.47524848,126.8788817,1.299999952
1009,37.47525861,126.8788945,1.330000043
996,37.47527007,126.8789062,1.370000005
1004,37.47527097,126.8789142,1.370000005
1037,37.47526332,126.878922,1.019999981
1005,37.47525407,126.8789341,1.399999976
990,37.47525,126.8789472,1.379999995
1009,37.47524476,126.87896,0.860000014
961,37.47524268,126.8789658,0.170000002
977,37.47524047,126.8789722,0.400000006
1029,37.47523793,126.8789849,1.100000024
1053,37.47523411,126.8790023,1.179999948
989,37.47523025,126.8790197,1.679999948
972,37.47522913,126.8790397,1.679999948
992,37.47522959,126.8790569,1.470000029
1020,37.47523102,126.8790729,1.460000038
1006,37.47523346,126.8790948,1.940000057
1002,37.47524006,126.8791181,1.870000005
1010,37.47524677,126.8791362,1.070000052
994,37.4752543,126.8791513,1.789999962
983,37.47526714,126.8791653,1.600000024
998,37.47527903,126.8791779,1.299999952
1007,37.47529441,126.8791928,1.639999986
997,37.47530536,126.8792111,1.49000001
981,37.47531367,126.8792286,1.220000029
974,37.47531677,126.8792437,1.190000057
994,37.47531572,126.8792578,1.080000043
1000,37.47531086,126.8792724,1.129999995
1024,37.47530819,126.8792876,1.200000048
994,37.47530551,126.8793052,1.340000033
999,37.47530759,126.8793267,1.840000033
1004,37.47531579,126.87935,1.940000057
986,37.4753268,126.8793703,1.679999948
1002,37.47533903,126.8793846,1.600000024
1004,37.47534385,126.8793989,1.049999952
998,37.47534099,126.8794164,1.299999952
998,37.47533684,126.8794312,0.639999986
1000,37.47533061,126.8794468,1.019999981
1012,37.47532771,126.8794648,1.210000038
1008,37.47532744,126.879486,1.529999971
998,37.47532846,126.8795096,1.620000005
1018,37.47532892,126.8795334,1.720000029
1014,37.4753328,126.8795569,1.99000001
996,37.47533703,126.879573,1.460000038
999,37.47533972,126.8795864,1.450000048
995,37.47533817,126.8796008,1.25999999
993,37.47533386,126.8796114,0.870000005
996,37.47533263,126.8796233,1.25999999
1009,37.47533674,126.8796384,1.419999957
997,37.47534191,126.8796519,1.25
1004,37.4753479,126.8796666,1.279999971
1032,37.47535086,126.8796849,1.629999995
998,37.47535608,126.8797005,0.970000029
981,37.47536007,126.8797178,1.5
997,37.47536777,126.8797375,1.620000005
1016,37.47538134,126.8797577,1.50999999
978,37.47538736,126.8797774,1.25
985,37.47539025,126.8797967,1.419999957
1006,37.4753995,126.8798193,2.029999971
1008,37.4754053,126.8798426,1.590000033
1007,37.47540916,126.8798614,1.399999976
1002,37.47541424,126.8798771,1.070000052
993,37.47541786,126.8798923,1.230000019
998,37.47542097,126.8799077,1.210000038
996,37.47542275,126.8799234,1.289999962
1009,37.47542576,126.8799423,1.539999962
1024,37.47542656,126.8799605,1.25999999
997,37.47543521,126.8799779,1.49000001
1011,37.47544387,126.8799939,1.470000029
992,37.47545514,126.8800103,1.450000048
982,37.47546237,126.8800222,0.769999981
993,37.47547169,126.8800339,1.220000029
1003,37.47548186,126.8800501,1.360000014
1007,37.47549003,126.8800614,0.790000021
986,37.4755008,126.8800715,0.899999976
994,37.47551166,126.8800854,1.289999962
1016,37.4755212,126.8801026,1.5
1024,37.47553328,126.8801234,1.690000057
990,37.47555025,126.8801474,2.029999971
962,37.47556728,126.8801694,1.74000001
990,37.47556975,126.8801877,1.419999957
1003,37.47556751,126.8802044,1.159999967
1021,37.47556396,126.8802221,1.389999986
1030,37.4755622,126.8802379,1.090000033
994,37.47555952,126.8802523,1.049999952
1006,37.47555642,126.8802646,0.930000007
972,37.47555813,126.8802771,0.74000001
992,37.47555868,126.8802904,0.870000005
974,37.47556177,126.8803074,1.399999976
996,37.47556662,126.8803221,0.910000026
1031,37.47557105,126.8803317,0.670000017
1009,37.47557947,126.8803441,1.190000057
1020,37.47558533,126.880359,1.149999976
1014,37.47559036,126.8803802,1.799999952
977,37.47559341,126.8804021,1.179999948
1001,37.47560478,126.8804227,1.379999995
1003,37.47561832,126.8804418,1.379999995
1002,37.47562001,126.8804589,1.129999995
1009,37.47562066,126.8804741,0.629999995
997,37.47562355,126.8804824,0.519999981
1000,37.47562622,126.8804921,0.779999971
1001,37.47562732,126.8805035,0.810000002
997,37.475622,126.8805146,1.320000052
1005,37.47562194,126.8805252,0.769999981
977,37.475624,126.880536,0.910000026
1001,37.47562844,126.8805504,1.100000024
993,37.47563648,126.880566,1.139999986
1002,37.47564381,126.8805782,0.589999974
987,37.47564921,126.8805898,0.850000024
1004,37.47565115,126.8806025,0.899999976
1040,37.47565249,126.8806158,0.930000007
983,37.47565633,126.8806279,0.560000002
1011,37.47566241,126.8806395,0.779999971
1012,37.47567031,126.8806527,0.959999979
973,37.47568501,126.880668,1.120000005
992,37.47570237,126.8806846,1.389999986
1023,37.47571465,126.8806979,0.660000026
988,37.47571378,126.8807055,0.850000024
985,37.47561914,126.8808952,5.510000229
983,37.47561038,126.8809144,3.279999971
985,37.47559784,126.8809524,3.549999952
987,37.47556021,126.8809999,0.800000012
994,37.47557076,126.8810217,0
3008,37.47556473,126.8810316,0
1002,37.47555653,126.881027,0.170000002
1023,37.47554727,126.8810336,0
69941,37.47575159,126.880797,0
20000,37.47573863,126.8808189,0
1001,37.47573105,126.8808293,0.949999988
993,37.475738,126.880849,1.070000052
1018,37.47574374,126.8808642,1.399999976
1024,37.47575009,126.8808809,1.529999971
1027,37.47575914,126.8808972,1.389999986
1020,37.47576814,126.8809108,1.210000038
1006,37.47578029,126.8809211,1.389999986
975,37.47579221,126.8809321,1.389999986
1011,37.47580568,126.880942,1.429999948
1038,37.47581985,126.8809543,1.299999952
950,37.47583241,126.880966,1.299999952
1013,37.47584539,126.8809782,1.549999952
1011,37.4758545,126.8809939,1.330000043
1013,37.47585594,126.8810112,1.029999971
1002,37.47585664,126.8810272,1.350000024
974,37.47585782,126.8810453,1.330000043
993,37.47585795,126.8810645,1.340000033
1020,37.47586216,126.8810806,1.340000033
994,37.47586833,126.8810951,1.330000043
990,37.47587507,126.8811077,1.330000043
987,37.4758796,126.8811328,1.340000033
1010,37.47588632,126.8811565,1.350000024
996,37.47588895,126.8811735,1.330000043
1031,37.4758745,126.8811882,1.309999943
998,37.47585637,126.8812016,1.299999952
983,37.4758458,126.8812146,1.289999962
992,37.47584256,126.8812259,1.289999962
993,37.47583855,126.8812369,1.279999971
981,37.47583496,126.8812497,1.279999971
1005,37.47583709,126.8812595,1.279999971
1025,37.47583655,126.8812719,1.269999981
978,37.47583923,126.8812837,1.269999981
1008,37.47584065,126.8812918,1.25999999
1039,37.47584415,126.8812984,1.25999999
993,37.47583888,126.8813015,1.24000001
948,37.47583735,126.8813075,1.24000001
991,37.47583409,126.881317,1.230000019
1030,37.4758333,126.8813299,1.230000019
1024,37.47583251,126.8813443,1.24000001
970,37.47583282,126.8813631,1.25
1017,37.47583674,126.8813762,1.24000001
1011,37.47583461,126.8813906,1.230000019
991,37.47583245,126.881407,1.24000001
971,37.4758329,126.8814213,1.230000019
987,37.47583594,126.8814324,1.230000019
1019,37.4758406,126.8814455,1.230000019
977,37.47584528,126.8814585,1.230000019
1007,37.47585039,126.8814737,1.230000019
1029,37.47585459,126.8814953,1.25
987,37.47585703,126.8815148,1.25
981,37.47586025,126.8815289,1.24000001
987,37.47586286,126.8815409,1.24000001
1043,37.47586449,126.8815537,1.24000001
978,37.475865,126.8815673,1.24000001
1002,37.47586971,126.8815947,1.269999981
1023,37.47587472,126.8816187,1.269999981
999,37.47587958,126.8816369,1.25999999
1011,37.47589005,126.8816835,1.330000043
1006,37.47589838,126.8817194,1.340000033
964,37.47590653,126.881757,1.360000014
1010,37.47591021,126.8817878,1.360000014
994,37.47591199,126.8818127,1.350000024
992,37.4759159,126.8818518,1.399999976
992,37.47591424,126.8818798,1.389999986
987,37.47592341,126.8819001,1.379999995
996,37.47592668,126.8819166,1.370000005
1009,37.4759338,126.8819261,1.360000014
1006,37.47594575,126.8819306,1.360000014
1012,37.47595818,126.8819372,1.360000014
1001,37.47596602,126.8819495,1.360000014
994,37.47596863,126.8819634,1.350000024
985,37.47597024,126.8819759,1.340000033
1001,37.475971,126.8819925,1.340000033
1010,37.47597042,126.8820141,1.350000024
1008,37.47596777,126.8820333,1.350000024
998,37.4759663,126.8820511,1.350000024
996,37.4759648,126.8820653,1.340000033
977,37.47596226,126.8820906,1.360000014
1016,37.47596249,126.8821046,1.350000024
1007,37.47596933,126.8821174,1.350000024
987,37.47598106,126.8821305,1.350000024
998,37.47598686,126.8821449,1.350000024
1000,37.47598879,126.8821568,1.340000033
1006,37.47599007,126.8821659,1.330000043
1005,37.47598891,126.8821762,1.330000043
1004,37.47598419,126.8821878,1.320000052
998,37.47598031,126.8822019,1.330000043
1019,37.47598031,126.8822166,1.330000043
1001,37.47598734,126.8822339,1.330000043
984,37.47599807,126.8822492,1.330000043
1000,37.47599779,126.8822608,1.330000043
1004,37.47599126,126.8822771,1.330000043
986,37.47598469,126.8822931,1.330000043
1013,37.47597788,126.8823115,1.340000033
1004,37.47597727,126.8823336,1.340000033
1020,37.47597983,126.8823581,1.340000033
1011,37.4759927,126.8823873,1.340000033
997,37.47600715,126.882414,1.340000033
1006,37.47600711,126.8824307,1.330000043
984,37.47600648,126.8824422,1.320000052
1001,37.47600825,126.882456,1.330000043
973,37.47601964,126.8824746,1.330000043
994,37.47603157,126.8824783,1.320000052
1022,37.4760332,126.882477,1.309999943
1002,37.4760364,126.8824791,1.309999943
1008,37.47604242,126.8824731,0.360000014
989,37.47604309,126.8824674,0.219999999
977,37.476044,126.8824631,0
1019,37.47604715,126.8824622,0.49000001
1019,37.47604784,126.8824655,0
988,37.47604441,126.8824704,0.569999993
998,37.4760393,126.8824709,0.579999983
995,37.47602951,126.8824642,1.159999967
993,37.47602177,126.8824637,0
7043,37.47601213,126.8824943,0
990,37.47601635,126.8824908,0.810000002
987,37.47602084,126.882488,0.5
1006,37.47602931,126.8824956,1.00999999
993,37.47604059,126.8825081,1.25
1002,37.47605231,126.8825193,1.110000014
1001,37.4760654,126.8825281,1.110000014
988,37.47607863,126.8825393,1.330000043
993,37.47609433,126.8825513,1.559999943
998,37.4761096,126.8825616,1.120000005
995,37.47612327,126.8825709,1.100000024
995,37.47613629,126.8825797,0.980000019
993,37.47615061,126.8825914,1.419999957
1000,37.47616084,126.8826043,0.800000012
1016,37.47616714,126.8826184,0.860000014
1007,37.47616955,126.8826367,1.070000052
996,37.47617232,126.8826568,1.070000052
996,37.47618473,126.8826757,1.440000057
1013,37.47619981,126.882689,0.939999998
995,37.47621574,126.8826989,1.00999999
1002,37.47623097,126.8827113,1
